question,answer
What malware disguises itself as harmless and legitimate software?,trojan horse
Which type of computer is the fastest and most expensive?,supercomputer
______ is unsolicited and unwanted electronic messages sent in bulk,spam
Which language translator converts an entire high-level language program into machine language before execution?,compiler
What memory holds a computer's start up instructions?,read only memory
Which communication medium uses light-conducting glass to transmit large amounts of data at very high speeds?,fibre optics
What device routes data packets between different networks?,router
Which type of RAM requires periodic refreshing to retain data?,dram
Which machine is regarded as the world's first general-purpose electronic computer?,eniac
What does URL stand for?,uniform resource locator
Which networking device operates at the physical layer and simply regenerates or boosts signals without altering the information being transmitted?,repeater
What software manages computer hardware and application?,operating system
_______ involves saving data on remote internet servers instead of local hard drive.,cloud storage
The network of physical objects connected to the internet is called ____.,internet of things
What is the major characteristic of fourth-generation computers?,microprocessors
What unique numeric address identifies a device on a network?,internet protocol 
Which type of printer produces output by striking an inked ribbon against paper?,impact printer
_____ is malicious / harmful program that replicates itself to damage computer systems.,virus
What technology allows electronic devices to exchange data wirelessly over short distances using radio waves,bluetooth
Which component of the CPU performs arithmetic and logical operations?,alu
The first generation computers were characterized by the use of ___________,vacuum tubes
Which component is known as the heart of the computer system?,central processing unit
A step-by-step set of instructions written to solve a specific problem is called _______,algorithm
MODEM stand for ________,modulator/demodulator
Which type of memory retains its contents even when power is switched off?,rom
Which type of computer processes data represented in continuous physical quantities such as temperature and voltage?,analogue computer
What security test uses distorted text to verify if a user is human?,captcha
The delivery of computing services over the internet is called _________,cloud computing
What technology allows phone calls over the internet?,voice over internet protocol 
A _________ is a network confined to a limited geographical area such as an office or group of buildings,local area network
________computer performs computational tasks?,central processing unit
To coordinate and control all computer operations is the primary function of the _________,control unit
Which mouse technology uses a laser to detect movement?,optical mouse
Computers designed to perform a specific task only are known as ___________,special-purpose computers
What malware locks files and demands money for access?,ransomware
A branch of AI that trains computers to learn from data without being explicitly programmed _________,machine learning
What web tool allows users to search for information on the web using keywords?,search engine
"Which network topology connects all computers to a central hub or switch, where failure of the central device brings down the entire network?",star topology
"What software is used to view, retrieve and interpret web pages?",web browser
Which two technologies that characterized second-generation computers?,transistors and diodes
"A _____ has no geographical limit and can connect computers across the world, while a _____ is limited to a small geographical area. (separate answer with a /)",wan/lan
How many bits make up one byte?,8
What is the name of the computer's main circuit board?,motherboard
Which type of ROM can be erased using ultraviolet light and reprogrammed? (state only the acronym),eprom
Who is credited with the invention of computer programming?,ada lovelace
John Von Neumann proposed ________ system for modern computing?,binary
What device converts digital data to analog over telephone lines?,modem
The _____ loses its contents when power is turned off.,ram
What does HTTP stand for?,hypertext transfer protocol
The Fifth-generation computers are mainly associated with ____________,artificial intelligence
"In ___________ topology, data is transmitted as packets along a linear communication channel that terminates at both ends.",bus
To manage and control computer resources is the main function of _____________,operating system
"To allow a computer that wishes to send information to gain access to a network, a short message called a token is passed around the network in a _______ topology",ring
Third-generation computers were characterized by _______,integrated circuits
Which type of computer memory is volatile?,random access memory
What does 'SIM' stand for in a phone's SIM card?,subscriber identity module
"Which input device is primarily used to enter letters, numbers, and symbols into a computer?",keyboard
A company has eight computers in a small office. Each computer manages its own security and shares files directly with others without a central server. Which network model best describes this setup?,peer-to-peer network
What electronic system accepts data; process them and output a result?,computer
A computer that combines the features of both digital and analogue computers is called ________,hybrid computer
The network connecting devices within a limited geographical area like a school is called?,lan
What device reads the lines printed on supermarket products?,barcode reader
Security is weak because each computer manages only itself is one disadvantage of _________ network,peer-to-peer
________ is a step-by-step description of an algorithm written in plain language or human-readable form and uses programming structures,pseudocode
