Question,Option A,Option B,Option C,Option D,Option E,Answer
Who is Nigeria’s current President (2026)?,Atiku Abubakar,Bola Tinubu,Muhammadu Buhari,Goodluck Jonathan,Donald Duke,B
Who is Nigeria’s Vice President (2026)?,Peter Obi,Kashim Shettima,Rotimi Amaechi,Yemi Osinbajo,Ahmed Lawan,B
Nigeria’s current Senate President (2026)?,Orji Uzor Kalu,Ahmad Lawan,Godswill Akpabio,David Mark,Bukola Saraki,C
Current Speaker of the House of Representatives?,Yakubu Dogara,Tajudeen Abbas,Aminu Tambuwal,Patricia Etteh,Femi Gbajabiamila,B
Current Chief Justice of Nigeria?,Walter Onnoghen,Olukayode Ariwoola,Tanko Muhammad,Ibrahim Tanko,Mary Odili,B
Current Inspector General of Police?,Solomon Arase,Kayode Egbetokun,Hafiz Ringim,Usman Baba,Ibrahim Idris,B
Current Governor of the Central Bank of Nigeria?,Godwin Emefiele,Olayemi Cardoso,Charles Soludo,Joseph Oladele,Sanusi Lamido,B
Current Minister of Education?,Adamu Adamu,Tahir Mamman,Obi Ezekwesili,Ibrahim Shekarau,Ruqayyatu Ahmed,B
Current Minister of Power?,Babatunde Fashola,Adebayo Adelabu,Sale Mamman,Rotimi Amaechi,Raji Fashola,B
Democracy Day in Nigeria is celebrated on?,12-Jun,29-May,1-Oct,4-Jul,1-Jan,A
Current Sultan of Sokoto (2026)?,Abubakar III,Muhammadu Sa’ad Abubakar,Bello Abubakar,Aliyu Babangida,Ibrahim Dasuki,B
Current Chairman of INEC?,Attahiru Jega,Humphrey Nwosu,Mahmood Yakubu,Maurice Iwu,Okon Uya,C
Current Chairman of EFCC?,Ibrahim Magu,Ola Olukoyede,Abdulrasheed Bawa,Farida Waziri,Nuhu Ribadu,B
Current Governor of Lagos State?,Akinwunmi Ambode,Babajide Sanwo?Olu,Bola Tinubu,Jide Adediran,Rauf Aregbesola,B
Current Governor of Enugu State?,Sullivan Chime,Peter Mbah,Jim Nwobodo,Ifeanyi Ugwuanyi,Chimaroke Nnamani,B
Current Chairman of ECOWAS (2026)?,Bola Tinubu,Nana Akufo?Addo,Patrice Talon,Macky Sall,Muhammadu Buhari,A
Current Minister of Health?,Muhammad Ali Pate,Isaac Adewole,Osagie Ehanire,Dora Akunyili,Onyebuchi Chukwu,A
Current Minister of Defence?,Mohammed Badaru Abubakar,Mansur Dan Ali,Bello Matawalle,Ali Modu Sheriff,Rabiu Kwankwaso,A
Current Minister of Foreign Affairs?,Geoffrey Onyeama,Yusuf Tuggar,Aminu Wali,Bolaji Akinyemi,Ojo Maduekwe,B
Current Minister of Works?,Babatunde Fashola,David Umahi,Mike Onolememen,Tony Anenih,Adeseye Ogunlewe,B
Current Minister of Finance?,Wale Edun,Zainab Ahmed,Kemi Adeosun,Charles Soludo,Obafemi Awolowo,A
Current Minister of Agriculture?,Abubakar Kyari,Audu Ogbeh,Adamu Adamu,Rotimi Amaechi,Chris Ngige,A
Current Minister of Labour?,Simon Lalong,Chris Ngige,Adams Oshiomhole,Kayode Fayemi,Ali Ndume,A
Current Minister of Justice?,Lateef Fagbemi,Abubakar Malami,Bola Ajibola,Ken Nnamani,Rotimi Amaechi,A
Current Minister of Aviation?,Festus Keyamo,Hadi Sirika,Rotimi Amaechi,Sam Mbakwe,Ali Modu Sheriff,A
Current Minister of Communications?,Bosun Tijani,Isa Pantami,Omobola Johnson,Ernest Ndukwe,Chris Uwaje,A
Current Minister of Information?,Mohammed Idris,Lai Mohammed,Frank Nweke,Labaran Maku,Dora Akunyili,A
Current Minister of Interior?,Olubunmi Tunji?Ojo,Abdulrahman Dambazau,Bello Matawalle,Ali Modu Sheriff,Chris Ngige,A
Current Minister of Sports?,John Enoh,Sunday Dare,Segun Odegbami,Chioma Ajunwa,Daniel Igali,A
Current Minister of Women Affairs?,Uju Kennedy?Ohanenye,Pauline Tallen,Josephine Anenih,Stella Oduah,Patricia Etteh,A
Current Minister of Science and Technology?,Abdullahi Tijjani,Gbemisola Saraki,Olorunnimbe Mamora,Ogbonnaya Onu,Aliyu Gusau,A
Current Minister of Environment?,Ishaq Salako,Laurence Adedoyin,John Odey,Hadiza Bala Usman,Ali Modu Sheriff,A
Current Minister of Housing?,Ahmed Dangiwa,Babatunde Fashola,Rotimi Amaechi,Ali Modu Sheriff,Chris Ngige,A
Current Minister of Petroleum?,Bola Tinubu,Timipre Sylva,Diezani Alison?Madueke,Rilwan Lukman,Emmanuel Ibe Kachikwu,A
Current Minister of Solid Minerals?,Dele Alake,Kayode Fayemi,Obafemi Awolowo,Ali Modu Sheriff,Chris Ngige,A
Current Minister of Trade and Investment?,Doris Uzoka?Anite,Okechukwu Enelamah,Olusegun Aganga,Ali Modu Sheriff,Chris Ngige,A
Current Minister of Transportation?,Sa’idu Alkali,Rotimi Amaechi,Ali Modu Sheriff,Chris Ngige,Babatunde Fashola,A
Current Minister of Niger Delta?,Abubakar Momoh,Godswill Akpabio,Orji Uzor Kalu,Ali Modu Sheriff,Chris Ngige,A
Current Minister of Humanitarian Affairs?,Betta Edu,Sadiya Umar Farouq,Pauline Tallen,Ali Modu Sheriff,Chris Ngige,A
Which mineral is abundant in Jos Plateau?,Tin,Gold,Coal,Limestone,Diamond,A
Nigeria is the largest producer of which mineral resource in Africa?,Coal,Oil,Bauxite,Tin,Copper,B
Bitumen deposits in Nigeria are mainly found in?,Ondo,Kano,Adamawa,Ebonyi,Sokoto,A
Which mineral resource is used for steel production in Nigeria?,Lead,Copper,Zinc,Iron ore,Aluminium,D
The region most associated with cocoa production in Nigeria?,Southwest,Northeast,Northwest,Southeast,Middle Belt,A
Which tribe dominates Northern Nigeria?,Yoruba,Igbo,Hausa-Fulani,Tiv,Ijaw,C
Which tribe is most populous in the Southeast?,Hausa,Igbo,Yoruba,Kanuri,Efik,B
The Niger Delta region is home to which ethnic group?,Ijaw,Hausa,Yoruba,Igbo,Kanuri,A
Which tribe is known for bead-making traditions?,Nupe,Yoruba,Igbo,Kanuri,Efik,B
Nigeria’s Democracy Day is celebrated on?,29-May,12-Jun,1-Oct,4-Jul,1-Jan,B
Nigeria’s 2026 budget size is approximately?,N25 trillion,N28 trillion,N30 trillion,N32 trillion,N35 trillion,C
The largest allocation in Nigeria’s 2026 budget went to?,Defence,Education,Infrastructure,Health,Agriculture,A
Nigeria’s total public debt as of Dec 2025 was about?,N50 trillion,N55 trillion,N60 trillion,N65 trillion,N70 trillion,C
Which agency manages Nigeria’s public debt?,CBN,Ministry of Finance,Debt Management Office,EFCC,NNPC,C
Nigeria’s debt-to-GDP ratio in 2025 was around?,20%,30%,40%,50%,60%,C
Which mineral resource is found in Zamfara State?,Gold,Tin,Coal,Bauxite,Iron ore,A
Which Nigerian tribe is known for cattle rearing?,Fulani,Igbo,Yoruba,Tiv,Kanuri,A
The Yoruba tribe is mainly located in which region?,North,South West,South East,Middle Belt,Niger Delta,B
Nigeria’s budget deficit in 2026 was projected at?,N5 trillion,N6 trillion,N7 trillion,N8 trillion,N9 trillion,C
Nigeria’s external debt stock at end of 2025 was about?,$35 billion,$40 billion,$45 billion,$50 billion,$55 billion,C
