Question,Option A,Option B,Option C,Option D,Option E,Answer
What does ICT stand for?,Information and Communication Technology,International Computer Terminology,Integrated Circuit Technology,Internet Communication Tools,Intelligent Computing Trends,A
Which protocol is used for sending emails?,FTP,SMTP,HTTP,POP3,IMAP,B
Which protocol is used for receiving emails?,SMTP,POP3,FTP,HTTP,DNS,B
What does URL stand for?,Uniform Resource Locator,Universal Routing Link,Unified Reference Language,User Request Line,Unique Resource Label,A
Which device connects multiple networks together?,Switch,Router,Hub,Modem,Bridge,B
What does HTML stand for?,HyperText Markup Language,High Transfer Machine Language,Hyperlink Text Management Language,Host Transfer Markup Logic,Hyper Tool Machine Language,A
Which of these is an operating system?,Chrome,Windows,Google,Intel,Oracle,B
What does CPU stand for?,Central Processing Unit,Computer Power Utility,Control Program Unit,Central Program Utility,Core Processing Unit,A
Which memory is volatile?,ROM,RAM,Hard Disk,Flash Drive,SSD,B
What does IP in IP address stand for?,Internet Protocol,Internal Program,Integrated Process,Information Path,Intelligent Packet,A
Which of these is a search engine?,Google,Facebook,WhatsApp,Twitter,Instagram,A
What does DNS stand for?,Domain Name System,Data Network Service,Digital Number Sequence,Distributed Node Server,Dynamic Naming Source,A
Which of these is NOT a programming language?,Python,Java,HTML,C++,Ruby,C
What does LAN stand for?,Local Area Network,Logical Access Node,Limited Access Network,Linked Application Network,Large Area Node,A
Which of these is a cloud storage service?,OneDrive,Excel,Word,PowerPoint,Access,A
What does VPN stand for?,Virtual Private Network,Verified Public Node,Virtual Processing Network,Variable Protocol Network,Virtual Program Node,A
Which of these is an example of malware?,Trojan Horse,Firewall,Antivirus,Router,Switch,A
What does GUI stand for?,Graphical User Interface,General Utility Integration,Global User Interaction,Generic Utility Interface,Graphical Unified Input,A
Which of these is a database management system?,MySQL,Excel,Word,PowerPoint,Outlook,A
What does ICT in education mainly promote?,Digital literacy,Farming,Manual bookkeeping,Traditional teaching,Paper exams only,A
What does HTTP stand for?,HyperText Transfer Protocol,High Transfer Text Protocol,Host Transfer Technical Process,Hyperlink Transfer Tool Protocol,Hyper Tool Text Process,A
Which storage device has no moving parts?,SSD,HDD,Floppy Disk,CD-ROM,Tape Drive,A
What does BIOS stand for?,Basic Input Output System,Binary Integrated Operating Setup,Base Internal Output Source,Basic Internet Operating System,Built-In Operating Software,A
Which of these is a spreadsheet application?,Excel,Word,PowerPoint,Access,Outlook,A
What does ASCII stand for?,American Standard Code for Information Interchange,Advanced System Code for Internet Integration,Automated Script Code for Internal Input,Applied Standard Code for Integrated Information,Analog Signal Code for International Interchange,A
Which of these is a web browser?,Chrome,Oracle,Windows,Linux,Intel,A
What does PDF stand for?,Portable Document Format,Program Data File,Public Data Framework,Process Document File,Print Data Format,A
Which of these is a social networking site?,Facebook,MySQL,Oracle,Windows,Excel,A
What does ISP stand for?,Internet Service Provider,Internal System Process,Integrated Software Program,Information Security Protocol,Intelligent System Platform,A
Which of these is a programming language?,Python,Excel,Word,Access,PowerPoint,A
What does IP v6 provide compared to IP v4?,Larger address space,Smaller packets,Less security,Fewer connections,Lower speed,A
Which of these is an example of open-source software?,Linux,Windows,macOS,Oracle DB,MS Office,A
What does ICT help businesses achieve?,Faster communication,Manual filing,Paper storage,Slower processes,Higher costs,A
Which of these is a markup language?,HTML,Python,Java,C++,Ruby,A
What does ICT in government promote?,E-Governance,Farming,Manual voting,Paper-only systems,Traditional filing,A
Which of these is a mobile operating system?,Android,Oracle,Excel,Word,Access,A
What does ICT in healthcare improve?,Telemedicine,Farming,Manual records,Paper-only prescriptions,Traditional filing,A
Which of these is a hardware device?,Keyboard,Excel,Word,PowerPoint,Chrome,A
What does ICT in banking enable?,Online transactions,Manual cash counting,Paper-only ledgers,Slower transfers,Traditional filing,A
Which of these is a programming paradigm?,Object-Oriented,Spreadsheet,Presentation,Database,Browser,A
What does ICT in commerce promote?,E-commerce,Farming,Manual trading,Paper-only receipts,Traditional shops only,A
