Question,Option A,Option B,Option C,Option D,Option E,Answer
What is the derivative of f(x) = ln(x^2 + 3x) with respect to x?,1 / (x^2 + 3x),(2x + 3) / (x^2 + 3x),2x / (x^2 + 3x),1 / (2x + 3),2x + 3,B
Evaluate the limit: lim as x approaches 0 of sin(5x)/x.,0,1,5,1/5,Does not exist,C
Find the value of the definite integral of (4x^3 - 2x) dx from 0 to 1.,0,1,2,-1,0.5,A
"If a matrix A has an eigenvalue L = 3, what is an eigenvalue of A^2 + 2I?",5,9,11,8,6,C
What is the determinant of a 3x3 scalar matrix with diagonal entries equal to 2?,2,6,8,4,9,C
Find the radius of convergence of the power series sum(x^n / n!).,0,1,e,infinity,2,D
Solve the first-order differential equation: dy/dx = 3x^2y where y(0) = 1.,y = e^(x^3),y = x^3 + 1,y = 3x^3,y = e^(3x),y = e^(x^2),A
What is the real part of the complex number z = 1 / (1 + i)?,1,-1,0.5,-0.5,0,C
Find the value of the integral of e^(2x) dx.,e^(2x) + C,2e^(2x) + C,0.5 * e^(2x) + C,e^x + C,0.5 * e^x + C,C
"According to Euler's formula, what is e^(i * pi) equal to?",0,1,i,-1,-i,D
What is the rank of a 3x3 matrix whose rows are linearly dependent?,Exactly 3,Less than 3,Always 0,Always 1,Cannot be determined,B
Find the divergence of the vector field F = (x^2)i + (y^2)j + (z^2)k.,x + y + z,2x + 2y + 2z,x^2 + y^2 + z^2,2,0,B
"If P(A) = 0.4, P(B) = 0.5, and A and B are independent events, find P(A intersection B).",0.9,0.1,0.2,0.0,0.45,C
What is the value of the limit as x approaches infinity of (3x^2 - 5x) / (2x^2 + 7)?,0,3/2,infinity,-5/7,1,B
"Find the gradient of the scalar function f(x, y) = 3x^2y at the point (1, 2).","[6, 3]","[12, 3]","[6, 1]","[12, 1]","[3, 3]",B
Which of the following is the modulus of the complex number z = 3 - 4i?,1,5,7,25,sqrt(7),B
What is the definition of an orthogonal matrix A?,A = A^T,A^-1 = A^T,det(A) = 0,A = -A^T,A^2 = I,B
Find the second derivative of f(x) = cos(2x).,-2sin(2x),-4cos(2x),4cos(2x),-cos(2x),2cos(2x),B
"A bag contains 3 red and 7 blue balls. If a ball is drawn at random, what is the probability it is red?",0.3,0.7,1/3,3/7,0.5,A
What is the order of the differential equation: (d^2y/dx^2)^3 + dy/dx = 0?,1,2,3,4,0,B
The trace of a square matrix is defined as the sum of its:,Eigenvalues,Row entries,Column entries,Main diagonal entries,Corner entries,D
Find the derivative of f(x) = x * e^x.,e^x,x * e^x,e^x * (x + 1),e^x * (x - 1),2e^x,C
Calculate the expected value E(X) of a fair six-sided die.,3.0,3.5,4.0,2.5,3.6,B
Two vectors are orthogonal if their:,Cross product is zero,Dot product is zero,Magnitudes are equal,Sum is zero,Ratio is constant,B
Evaluate the definite integral of (1/x) dx from 1 to e.,0,1,e,ln(2),0.5,B
What is the maximum number of linearly independent eigenvectors an n x n matrix can have?,1,n - 1,n,n + 1,Infinite,C
"Find the component form of a vector from P(1, 2) to Q(4, 6).","[3, 4]","[5, 8]","[-3, -4]","[4, 3]","[2, 4]",A
"If z = r(cos(theta) + i*sin(theta)), what is z^n according to De Moivre's Theorem?",r^n * (cos(theta) + i*sin(theta)),r * (cos(n*theta) + i*sin(n*theta)),r^n * (cos(n*theta) + i*sin(n*theta)),n * r * (cos(theta) + i*sin(theta)),r^n * (cos(theta^n) + i*sin(theta^n)),C
Find the critical points of the function f(x) = x^2 - 4x + 5.,x = 0,x = 2,x = 4,x = -2,None,B
What does the Central Limit Theorem state about the sampling distribution of the sample mean as sample size grows large?,Becomes skewed,Approaches a normal distribution,Becomes uniform,Becomes constant,Diverges,B
